id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
126429,107240,¡Aguante Imaginario!,NULL,1999-10-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
123052,92273,10-Pin Bowling,NULL,1999-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
88894,3706,18 Wheeler: American Pro Trucker,NULL,1999-01-01 00:00:00.000,3,NULL,46.0000,1,71.4576,10
96905,112552,19:03 Ueno Hatsu Yakou Ressha,NULL,1999-03-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
136941,182328,2 in 1 Pack: Super Bubsy/Lollypop,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
127742,209723,2999 Game Kids,NULL,1999-12-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
51792,45318,360: Three Sixty,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
143132,47046,3D Frog Frenzy,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24175,183628,3D Ultra Cool Pool,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
133291,10735,3D Ultra Lionel Traintown,NULL,1999-08-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
159851,50468,3-D Ultra Pinball: Thrill Ride,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
133282,9116,3-D Ultra Radio Control Racers,NULL,1999-11-15 00:00:00.000,2,NULL,NULL,NULL,78.6682,5
124978,45106,3Xtreme,NULL,1999-05-21 00:00:00.000,NULL,NULL,NULL,NULL,76.9812,7
82584,5568,40 Winks,"The player takes control of either Ruff or Tumble, a brother and sister who are sleeping and trying to free 40 ""Winks"" from a man named Nitekap and his accomplice, Threadbear. ""Winks"" are small, white creatures which make dreams, and ""Hoodwinks"", which are green and of a similar size are what are responsible for any nightmares.",1999-11-14 00:00:00.000,10,NULL,NULL,NULL,79.9900,14
95620,41483,4-Tris,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103233,47682,64 Hanafuda: Tenshi no Yakusoku,NULL,1999-11-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
59978,3434,64 Oozumou 2,NULL,1999-03-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106386,79588,70's Robot Anime Geppy-X,NULL,1999-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99222,58516,'99 Koushien,NULL,1999-06-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99993,49841,A Bug's Life,NULL,1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24252,65901,A Collection of Intellivision Classic Games,NULL,1999-10-30 00:00:00.000,NULL,NULL,NULL,NULL,46.6167,0
110186,222699,A Nightmare on Elm Street: Son of a Hundred Maniacs Demake,NULL,1999-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114774,71602,Abomination: The Nemesis Project,NULL,1999-11-03 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
187989,14751,Ace Combat 3: Electrosphere,NULL,1999-05-27 00:00:00.000,3,NULL,NULL,NULL,75.6234,18
129533,222775,Acid,NULL,1999-07-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174820,43937,Action Bass,NULL,1999-12-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73374,72539,Action Man: Raid on Island X,"Action Man was originally a popular toy action figure, the U.K.'s version of G.I. Joe, before becoming a more generic action/extreme sports hero on a 3D animated television show. The goal of this kid's action-adventure game is to raid your arch nemesis Dr. X’s island, rescue your sidekick who has been kidnapped and prevent Dr. X from destroying the world by polluting the environment and doing terrible experiments on plants and animals. 
 
You start in your base and create your own hero choosing different faces, shirts, pants, etc. Training missions will improve your skills on a firing range, bungee jumping, scuba diving, taking photographs, and street luge. Then other areas will open up and Action Man will journey through varied locales such as urban cities, tropical forests, and the frozen arctic. You'll swim, jump, and climb your way through levels battling criminals and avoiding dangers of all sorts. 
 
From your secret headquarters, you can use the monitor to see a map and choose which adventure you want to play. You can access various equipment, weapons and tools. Other features include a print function giving hard copies of colourful maps, missions, stickers and secret documents.",1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84437,3709,AeroWings,NULL,1999-03-04 00:00:00.000,1,NULL,66.0000,1,NULL,NULL
36140,60580,AFL 99,NULL,1999-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
